"","Institution","Department","Position","Position type","Field","Posted","Deadline","conference1","conference2","conference3","email1","email2","email3","email4","link1","link2","link3","link4","link5","link6","link7","link8","fulltext_final"
"135","University of Nottingham","Economics","Associate Professor","Full Professor","Any field","10 Oct 2018","16 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:facundo.albornoz@nottingham.ac.uk","mailto:Giovanni.Facchini@nottingham.ac.uk","mailto:Abigail.Barr@nottingham.ac.uk",NA,"https://www.nottingham.ac.uk/economics/",NA,NA,NA,NA,NA,NA,NA,"The School of Economics at the University of Nottingham carries out world leading research and teaching with an international reputation for excellence across all areas of the discipline. In the most recent Research Excellence Framework (REF) assessment, we rank 6th nationally for Research Power and according to the latest US News and World Report we rank 36 among the Best Global Universities for Economics and Business. The School of Economics invites applications from suitably qualified candidates for the following post, available from 1st September 2019, or as soon as possible therefore:Associate ProfessorCandidates with research and teaching interests in any area of economics are encouraged to apply.Candidates for senior posts must have an established research reputation with an excellent publications record, an ability to attract external income for their research, a commitment to high quality teaching, and a collegial mind-set to work with the school and the wider University. Candidates for all positions are expected to have a PhD in Economics and have some teaching experience at University level.Salaries for all posts will be commensurate with those offered by comparable Schools and in line with the University of Nottingham reward package.Enquiries may be addressed toProfessor Facundo Albornoz Crespo(Head of School),Professor Giovanni Facchini(Head of the Recruiting Committee), orProfessor Abigail Barr(Deputy Head of the Recruiting Committee. Please note that applications sent directly to these email addresses will not be accepted. Full details of the School's activities are available at:https://www.nottingham.ac.uk/economics/The University is committed to ensuring and promoting diversity, equality and inclusion across all its activities, functions, and structures, and it encourages applications from all social groups with any protected characteristics.""We recognise and value our people as our most important asset. It is through our people that an excellence student experience and world-changing research will be delivered. To succeed therefore, we need the right people with the right skills and values in place at the right time. We need exceptional leaders who champion our culture, live our values and facilitate high performance, and a highly talented, diverse, skilled and motivated workforce who are empowered and engaged through working in a developmental, collaborative, inclusive and supportive working environment.""Global People Strategy 2020The School will be represented at the EEA European Job Market for Economists in Naples on 6th-7th December 2018 and at the AEA meetings in Atlanta on 4th-6th January 2019. During the events, School representatives will meet candidates.In your application, please indicate your availability to attend either event.Interviews for shortlisted candidates will be held at the University of Nottingham early in 2019. Letters of reference required: 3 Location of job: School of Economics, University of Nottingham, Sir Clive Granger Building, University Park, Nottingham, Nottinghamshire, NG7 2RD, United KingdomThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"136","University of Nottingham","Economics","Assistant Professor","Associate Professor","Any field","10 Oct 2018","16 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:facundo.albornoz@nottingham.ac.uk","mailto:Giovanni.Facchini@nottingham.ac.uk","mailto:Abigail.Barr@nottingham.ac.uk",NA,"https://www.nottingham.ac.uk/economics/",NA,NA,NA,NA,NA,NA,NA,"The School of Economics at the University of Nottingham carries out world leading research and teaching with an international reputation for excellence across all areas of the discipline. In the most recent Research Excellence Framework (REF) assessment, we rank 6th nationally for Research Power and according to the latest US News and World Report we rank 36 among the Best Global Universities for Economics and Business. The School of Economics invites applications from suitably qualified candidates for the following post, available from 1st September 2019, or as soon as possible therefore:Assistant ProfessorCandidates with research and teaching interests in any area of economics are encouraged to apply.Candidates are expected to have a PhD in Economics and have some teaching experience at University level.Salaries for all posts will be commensurate with those offered by comparable Schools and in line with the University of Nottingham reward package.Enquiries may be addressed toProfessor Facundo Albornoz Crespo(Head of School),Professor Giovanni Facchini(Head of the Recruiting Committee), orProfessor Abigail Barr(Deputy Head of the Recruiting Committee. Please note that applications sent directly to these email addresses will not be accepted. Full details of the School's activities are available at:https://www.nottingham.ac.uk/economics/The University is committed to ensuring and promoting diversity, equality and inclusion across all its activities, functions, and structures, and it encourages applications from all social groups with any protected characteristics.""We recognise and value our people as our most important asset. It is through our people that an excellence student experience and world-changing research will be delivered. To succeed therefore, we need the right people with the right skills and values in place at the right time. We need exceptional leaders who champion our culture, live our values and facilitate high performance, and a highly talented, diverse, skilled and motivated workforce who are empowered and engaged through working in a developmental, collaborative, inclusive and supportive working environment.""Global People Strategy 2020The School will be represented at the EEA European Job Market for Economists in Naples on 6th-7th December 2018 and at the AEA meetings in Atlanta on 4th-6th January 2019. During the events, School representatives will meet candidates.In your application, please indicate your availability to attend either event.Interviews for shortlisted candidates will be held at the University of Nottingham early in 2019. Letters of reference required: 3 Location of job: School of Economics, University of Nottingham, Sir Clive Granger Building, University Park, Nottingham, Nottinghamshire, NG7 2RD, United KingdomThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"137","University of Rome Tor Vergata (Università di Roma Tor Vergata)","Department of Economics and Finance","Full time fixed-term assistant professors","Assistant Professor","Any field","10 Oct 2018","16 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:facundo.albornoz@nottingham.ac.uk","mailto:Giovanni.Facchini@nottingham.ac.uk","mailto:Abigail.Barr@nottingham.ac.uk",NA,"https://www.nottingham.ac.uk/economics/",NA,NA,NA,NA,NA,NA,NA,"The Department of Economics and Finance (DEF) at the University of Rome Tor Vergata invites expressions of interest fortwo full time fixed-term assistant professors in all areas of Economics and Finance (including Statistics and Financial Mathematics):The positionsarefor three yearsstarting in 2019. Renewable for three additional years. At any time, candidates may be considered for a Senior (Tenure-Track) Assistant Professorships position, which requires at least three years of experience after graduation, according to the Italian law. Teaching is optional, and in any case at the graduate level. Knowledge of Italian is not required. Our Department is devoted to promote high-quality research, seminars and conference activities, with the aim of contributing to the national and international policy debate. RePEc and Tilburg University rank our Department among the top 5 institutions in Italy, and the top 100 in Europe. The Department has been recently financed by the Italian Ministry of University and Research under the program Departments of Excellence” for 2018-2022. More information about the DEF can be found athttp://economia.uniroma2.it/en/def/.Application Instructions Applications should be received byNovember 20th 2018. They should include the CV, a research statement, one (or more) research paper(s) and at least 3 reference letters and should be uploaded on the EconJobMarket website,https://econjobmarket.org/The DEF will schedule interviews at the European Job Market (Naples, December 6th and 7th 2018). Candidates who do not plan to attend the EJM shall mention it in their cover letter, and a selected group may be interviewed on Skype.There are no restrictions regarding the nationality of the applicants. DEF is an equal opportunity employer. Please note that this is a call for interest, not a job vacancy announcement. The Department will advertise job vacancies later in the year. For additional information, please contact us at: recruiting.def@uniroma2.it (Raffaella Sisti) Letters of reference required: 3 Location of job: Via Columbia 2, Rome, Lazio, 00133, ItalyThe recruiter is interviewing applicants at the following conference:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018"
"138","Université catholique de Louvain","Economics School of Louvain","International Economics and/or Economic Geography(Ref: 20645/ESPO007/2019)","Assistant Professor","Any field","10 Oct 2018","30 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,"mailto:recruiting.def@uniroma2.it",NA,NA,NA,"https://econjobmarket.org/",NA,NA,NA,NA,NA,NA,NA,"The successful candidate is expected to develop high quality research in international economics and/or in any other domain in economics with a spatial dimension (links between movements of goods and factors, development inequality, climate shocks, governance quality, etc.). A demonstrated ability to use cutting-edge quantitative methods, and a capacity to use innovative sources of data (e.g., big data, geo-localized or fine-grained data) are considered as assets. The successful candidate is expected to teach (in English, and if possible in French) in our undergraduate and Master programs in economics. The offered academic position is at the level of Assistant (tenure-track or tenured), Associate Professor or Full Professor, depending on the candidate's CV.We will be interviewing at the EEA Job market in Naples, and at the ASSA meetings in Atlanta. Applications should be submitted BOTH through the AcademicJobsOnline website (https://academicjobsonline.org/ajo/jobs/12311)and the university website at https://jobs.uclouvain.be/PersonnelAcademique/job/An-academic-position-in-the-field-of-International-Economics-and-of-Economic-Geography/496294801/ by November 15 (12:00am CET). Letters of recommendation should be submitted before November 28. Short-listed candidates will be offered a flyout for an interview and a seminar in Louvain-la-Neuve (Belgium) during the last week of January 2019.To apply, visit https://academicjobsonline.org/ajo/jobs/12311.(See posting for details.) Letters of reference required: 3 Location of job: Place Montesquieu, 3, Louvain-la-Neuve, 1348, BelgiumThe recruiter is interviewing applicants at the following conference:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018"
"139","LUISS Guido Carli","Department of Economics and Finance","Expression of Interest for Four Assistant Professorships","Tenured Professor","International Finance/Macro, International Trade","10 Oct 2018","28 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,NA,NA,NA,NA,"https://jobs.uclouvain.be/PersonnelAcademique/job/An-academic-position-in-the-field-of-International-Economics-and-of-Economic-Geography/496294801/","https://academicjobsonline.org/ajo/jobs/12311",NA,NA,NA,NA,NA,NA,"The Department of Economics and Finance of LUISS University invites young and promising scholars to express their interests for 4 full-time Assistant professorships in Applied Microeconomics, Finance, Mathematical Finance and Econometrics.The Assistant Professors will have a PhD (or be close to complete one) from a leading school, an active research program, and the potential to publish in top journals. They will show a passionate drive to become leading scholars in their field and have some teaching experience. Knowledge of Italian is not required.Applicants should express their interest by following the instruction provided at the following links: · Assistant Professorship in Applied Microeconomics· Assistant Professorship in Finance· Assistant Professorship in Mathematical Finance·  Assistant Professorship in EconometricsSubmissions are due by November 12, 2018 at 2:00 p.m. Central European Time (CET), UTC +1Candidates will be interviewed at theEEA Job Market Meeting (Naples, Italy, 6-7 Dec 2018). Candidates who do not plan to attend this meeting shall mention it in their cover letter, and a selected group may be interviewed at LUISS or on Skype.To apply, visit http://www.luiss.edu/.(See posting for details.) Letters of reference required: 3 Location of job: Viale Romania 32, Roma, Rome, 00197, ItalyThe recruiter is interviewing applicants at the following conference:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018"
"140","Tilburg University","Department of Econometrics and Operations Research, Tilburg School of Economics and Management","Two Tenure Track Assistant Professor Positions in Econometric Theory","Assistant Professor","Various fieldsEconometrics, Finance, Microeconomics","10 Oct 2018","12 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,NA,NA,NA,NA,"https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,NA,NA,NA,NA,NA,"The Department of Econometrics and OR at Tilburg University is looking for two tenure track Assistant Professors in Econometric Theory. We are looking for candidates whose main research focus is on developing novel econometric and statistical methods that are relevant for applied work in economics and related fields. We invite applications in all fields of econometric and statistical theory, including - but not limited to - time series analysis, financial econometrics, macro-econometrics, micro-econometrics and high dimensional econometrics/statistics.Our econometrics group consists of more than 20 colleagues whose research interests range from time series econometrics, statistics, financial econometrics, micro-econometrics to health and labor economics and structural econometrics. There is a long standing tradition in Tilburg that emphasizes applied relevance and methodological rigor. More recently, we have increasingly been interested in work on high-dimensional econometrics/statistics.Tilburg University offers competitive European salaries, including a yearly holiday allowance and a year-end bonus.Information about the Department of Econometrics and OR can be found at:https://www.tilburguniversity.edu/about/schools/economics-and-management/organization/departments/eor.htm Application deadline: December 3, 2018.For further questions, please contact the Recruiting Team: Otilia Boldea (o.boldea@uvt.nl) or Bas Werker (b.j.m.werker@uvt.nl) Initial interviews will take place at the ASSA meetings and via video-conferencing. Letters of reference required: 3 Location of job: Warandelaan 2, Tilburg, 5037AB, NetherlandsThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"141","York University","Economics","Tenure Stream Position in Applied Microeconomic Theory","Assistant Professor","Econometrics","10 Oct 2018","3 Dec 2018","https://www.aeaweb.org/conference/",NA,NA,"mailto:o.boldea@uvt.nl","mailto:b.j.m.werker@uvt.nl",NA,NA,"https://www.tilburguniversity.edu/about/schools/economics-and-management/organization/departments/eor",NA,NA,NA,NA,NA,NA,NA,"The Department of Economics, Faculty of Liberal Arts & Professional Studies, York University, invites applications for a tenure-stream professorial-stream position in Applied Microeconomic Theory at the rank of Assistant Professor to commence July 1, 2019. The successful candidate will have a completed PhD in Economics (or be near completion), must demonstrate excellence or the promise of excellence in scholarly research, teaching, and service, and will have publications appropriate to their stage of career. In addition, applicants should have the breadth and versatility to teach a variety of undergraduate courses. The successful candidate should be prepared to participate actively in the Graduate Program in Economics and be suitable for prompt appointment to the Faculty of Graduate Studies. Pedagogical innovation in high priority areas such as experiential education and technology enhanced learning is preferred.York University is an Affirmative Action (AA) employer and strongly values diversity, including gender and sexual diversity, within its community. The AA program, which applies to Aboriginal people, visible minorities, people with disabilities, and women, can be found at http://acadjobs.info.yorku.ca/or by calling the AA office at 416-736-5713. Applicants wishing to self-identify can do so by downloading, completing and submitting the forms found at: http://acadjobs.info.yorku.ca/ . Kindly download the forms below and submit the completed and signed forms in the category ""Other file""Self-Id formCitizenship formAll qualified candidates are encouraged to apply; however, Canadian citizens, permanent residents and Indigenous peoples in Canada will be given priority.Applications are to be submitted online throughEconJobMarket.org. In their application package, applicants should submit a signed letter of application (cover letter) outlining their professional experience and research interests, an up-to-date curriculum vitae, a sample of their scholarly writing (maximum 50 pp.), and a teaching dossier. Additionally, applicants should arrange for three signed confidential letters of recommendation to be uploaded throughEconJobMarket.org. The deadline for applications is November 30, 2018. Salary will be commensurate with qualifications and experience. All York University positions are subject to budgetary approval. Letters of reference required: 3 Location of job: 4700 Keele Street, Toronto, ON, M3J 1P3, CanadaThe recruiter is interviewing applicants at the following conferences:Canadian Economics Employment Exchange, Toronto, Canada, 78 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"142","York University","Economics","Tenure Stream Position in Macroeconomics","Assistant Professor","Microeconomics","10 Oct 2018","30 Nov 2018","https://economics.ca/en/employment.php","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,"https://econjobmarket.org/","https://econjobmarket.org/",NA,NA,NA,NA,NA,NA,"The Department of Economics, Faculty of Liberal Arts & Professional Studies, York University, invites applications for a tenure-stream professorial-stream position in Macroeconomics at the rank of Assistant Professor to commence July 1, 2019. The successful candidate will have a completed PhD in Economics (or be near completion), must demonstrate excellence or the promise of excellence in scholarly research, teaching, and service, and will have publications appropriate to their stage of career. In addition, applicants should have the breadth and versatility to teach a variety of undergraduate courses. The successful candidate should be prepared to participate actively in the Graduate Program in Economics and be suitable for prompt appointment to the Faculty of Graduate Studies. Pedagogical innovation in high priority areas such as experiential education and technology enhanced learning is preferred.York University is an Affirmative Action (AA) employer and strongly values diversity, including gender and sexual diversity, within its community. The AA program, which applies to Aboriginal people, visible minorities, people with disabilities, and women, can be found at http://acadjobs.info.yorku.ca/or by calling the AA office at 416-736-5713.Applicants wishing to self-identify can do so by downloading, completing and submitting the forms found at: http://acadjobs.info.yorku.ca/ .Kindly download the forms below and submit the completed and signed forms in the category ""Other file""Self-Id formCitizenship formAll qualified candidates are encouraged to apply; however, Canadian citizens, permanent residents and Indigenous peoples in Canada will be given priority.Applications are to be submitted online throughEconJobMarket.org. In their application package, applicants should submit a signed letter of application (cover letter) outlining their professional experience and research interests, an up-to-date curriculum vitae, a sample of their scholarly writing (maximum 50 pp.), and a teaching dossier. Additionally, applicants should arrange for three signed confidential letters of recommendation to be uploaded throughEconJobMarket.org. The deadline for applications is November 30, 2018. Salary will be commensurate with qualifications and experience. All York University positions are subject to budgetary approval. Letters of reference required: 3 Location of job: 4700 Keele Street, Toronto, ON, M3J 1P3, CanadaThe recruiter is interviewing applicants at the following conferences:Canadian Economics Employment Exchange, Toronto, Canada, 78 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"143","York University","Economics","Full Time Alternate Stream - Assistant Lecturer","Assistant Professor","Macroeconomics; Monetary","10 Oct 2018","30 Nov 2018","https://economics.ca/en/employment.php","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,"https://econjobmarket.org/","https://econjobmarket.org/",NA,NA,NA,NA,NA,NA,"The Department of Economics, Faculty of Liberal Arts & Professional Studies, York University, invites applications for two (2) Alternate Stream (teaching-focused) tenure-track positions in Macroeconomics at the rank of Assistant Lecturer to commence July 1, 2019. The successful candidate will have a completed PhD in Economics, must have some university-level teaching experience, and demonstrate excellence or clear potential in teaching and a strong commitment to pedagogy, student success, and pedagogical innovation. In addition, applicants should have the breadth and versatility to teach a variety of undergraduate courses at different levels, most importantly introductory courses in macroeconomics and upper-level courses in financial economics. A record of pedagogical innovation in high priority areas such as experiential education, large classroom engagement, technology enhanced learning, and community-based learning is preferred as is experience with curriculum development and universal design. The successful candidate is also expected to provide evidence of service or promise of service in administrative and committee work.York University is an Affirmative Action (AA) employer and strongly values diversity, including gender and sexual diversity, within its community. The AA program, which applies to Aboriginal people, visible minorities, people with disabilities, and women, can be found at http://acadjobs.info.yorku.ca/or by calling the AA office at 416-736-5713. Applicants wishing to self-identify can do so by downloading, completing and submitting the forms found at: http://acadjobs.info.yorku.ca/ .Kindly download the forms below and submit the completed and signed forms in the category ""Other file""Self-Id formCitizenship formAll qualified candidates are encouraged to apply; however, Canadian citizens, permanent residents and Indigenous peoples in Canada will be given priority.Applications are to be submitted online throughEconJobMarket.org. In their application package, applicants should submit a signed letter of application (cover letter) outlining their professional experience and research interests, an up-to-date curriculum vitae, a sample of their scholarly writing (maximum 50 pp.), and a teaching dossier. Additionally, applicants should arrange for three signed confidential letters of recommendation to be uploaded throughEconJobMarket.org. Referees should be advised to address the candidates qualifications and experience in relation to the position. The deadline for applications is November 30, 2018. Salary will be commensurate with qualifications and experience. All York University positions are subject to budgetary approval. Letters of reference required: 3 Location of job: 4700 Keele Street, Toronto, ON, M3J 1P3, CanadaThe recruiter is interviewing applicants at the following conferences:Canadian Economics Employment Exchange, Toronto, Canada, 78 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"144","York University","Economics","Full Time Alternate Stream - Assistant Lecturer","Lecturer","Macroeconomics; Monetary","10 Oct 2018","30 Nov 2018","https://economics.ca/en/employment.php","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,"https://econjobmarket.org/","https://econjobmarket.org/",NA,NA,NA,NA,NA,NA,"The Department of Economics, Faculty of Liberal Arts & Professional Studies, York University, invites applications for two Alternate Stream (teaching-focused) tenure-track positions in Microeconomics at the rank of Assistant Lecturer to commence July 1, 2019. The successful candidate will have a completed PhD in Economics, must have some university-level teaching experience, and demonstrate excellence or clear potential in teaching and a strong commitment to pedagogy, student success, and pedagogical innovation. In addition, applicants should have the breadth and versatility to teach a variety of undergraduate courses at different levels, most importantly introductory courses in microeconomics and upper-level courses in financial economics. A record of pedagogical innovation in high priority areas such as experiential education, large classroom engagement, technology enhanced learning, and community-based learning is preferred as is experience with curriculum development and universal design. The successful candidate is also expected to provide evidence of service or promise of service in administrative and committee work.York University is an Affirmative Action (AA) employer and strongly values diversity, including gender and sexual diversity, within its community. The AA program, which applies to Aboriginal people, visible minorities, people with disabilities, and women, can be found at http://acadjobs.info.yorku.ca/or by calling the AA office at 416-736-5713. Applicants wishing to self-identify can do so by downloading, completing and submitting the forms found at: http://acadjobs.info.yorku.ca/ .Kindly download the forms below and submit the completed and signed forms in the category ""Other file""Self-Id formCitizenship formAll qualified candidates are encouraged to apply; however, Canadian citizens, permanent residents and Indigenous peoples in Canada will be given priority.Applications are to be submitted online throughEconJobMarket.org. In their application package, applicants should submit a signed letter of application (cover letter) outlining their professional experience and research interests, an up-to-date curriculum vitae, a sample of their scholarly writing (maximum 50 pp.), and a teaching dossier. Additionally, applicants should arrange for three signed confidential letters of recommendation to be uploaded throughEconJobMarket.org. Referees should be advised to address the candidate's qualifications and experience in relation to the position. The deadline for applications is November 30, 2018. Salary will be commensurate with qualifications and experience. All York University positions are subject to budgetary approval. Letters of reference required: 3 Location of job: 4700 Keele Street, Toronto, ON, M3J 1P3, CanadaThe recruiter is interviewing applicants at the following conferences:Canadian Economics Employment Exchange, Toronto, Canada, 78 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"145","National Research University Higher School of Economics, Moscow","International College of Economics and Finance","Assistant Professor in Economics","Lecturer","Microeconomics","10 Oct 2018","30 Nov 2018","https://economics.ca/en/employment.php","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,"https://econjobmarket.org/","https://econjobmarket.org/",NA,NA,NA,NA,NA,NA,"The International College of Economics and Finance (ICEF), established in academic cooperation with the London School of Economics and Political Science (LSE) as an autonomous college within the Higher School of Economics in Moscow, is inviting applications for tenure track positions in economics. Candidates in all fields are welcome, although ICEF is particularly interested in candidates with expertise in macroeconomics. Teaching and other academic activities at ICEF are in English, and knowledge of the Russian language is not a pre-condition for appointment.Successful candidates are expected to hold a PhD degree in economics before taking up the appointment, to have university teaching ability and experience, and to demonstrate strong research potential. Salaries are internationally competitive and commensurate with experience and qualifications. At ICEF salaries are indexed to inflation annually. Appointed academics are expected to publish in reputable academic journals and to contribute to the ICEF undergraduate and masters programmes. The teaching load of faculty members is less than 100 hours per year with a substantial reduction for the first year of employment. Please refer tohttp://icef.hse.ru/en/ for more information about ICEF.For further information please contact Sergey Yakovlev, ICEF Director, at yakovlev_icef@hse.ru Application Instructions: Interested applicants should submit their CV, a recent research paper and arrange for at least two reference letters to be sent directly to ICEF Selection Committeeat ICEF_recruitment@hse.runo later than November 22, 2018. To apply, send a message to ICEF_recruitment@hse.ru.(See posting for details.) Letters of reference required: 2 Location of job: ul. Shabolovka, 26, Moscow, 119049, Russian FederationThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"146","Federal Reserve Bank of Cleveland","Research","Research Economist or Senior Research Economist - Macroeconomics","Assistant Professor","Macroeconomics; Monetary, Any field","10 Oct 2018","22 Nov 2018","https://www.aeaweb.org/conference/",NA,NA,"mailto:ICEF_recruitment@hse.ru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Research Economist or Senior Research Economist - MacroeconomicsEconomic Research Department, Federal Reserve Bank of ClevelandSection: Nonacademic (Full-Time, Salaried)JEL Classifications:E  Macroeconomics and Monetary EconomicsE2 - Macroeconomics: Consumption, Saving, Production, Investment, and Labor MarketsE3 - Prices, Business Fluctuations, and CyclesE5 - Monetary Policy, Central Banking, and the Supply of Money and CreditApplication Deadline: November 26, 2018 The Research Department at the Federal Reserve Bank of Cleveland seeks new or experienced economists with research interests in macroeconomics or monetary economics. Job responsibilities include publishing research in professional journals, writing for bank publications, and advising bank management on policy issues. To qualify a Ph.D. in economics is required. Experienced candidates are required to have a publication record commensurate with experience. To Apply:Please apply with current CV, a current research paper, and three letters of reference by November 26, 2018.Innovative Benefits Programs:Our comprehensive benefits package includes generous retirement and medical plans:Medical/dental plans Thrift plan (401k) Retirement plan (Pension)Paid time off (PTO) and holidaysMaternity/Paternity LeaveOn-site fitness center Wellness programsDependent care resource and referral serviceThe Federal Reserve Bank of Cleveland is an Equal Opportunity Employer. We are dedicated to sustaining an environment in which diversity is valued and differences are strengths. It is the Banks policy to provide equal employment opportunity for all employees and applicants without regard to race, color, religion, sex, national origin, age, disability, gender identity or expression, genetic information or sexual orientation. Letters of reference required: 3 Location of job: 1455 East Sixth Street, Cleveland, OH, 44114, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"147","Federal Reserve Bank of Cleveland","Research","Research Economist or Senior Research Economist - Banking/Financial Stability","Other nonacademic","Macroeconomics; Monetary","9 Oct 2018","26 Nov 2018","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Research Economist or Senior Research Economist  Banking/Financial StabilityFederal Reserve Bank of Cleveland Nonacademic (Full-Time, Salaried) JEL Classifications: D8  Information, Knowledge, and UncertaintyE  MacroeconomicsG  Financial EconomicsL  Industrial OrganizationN2  Financial Markets and Institutions The Research Department at the Federal Reserve Bank of Clevelandseeks new or experienced economists withresearch interests in banking, financial stability, macro finance, industrial organization, or financial history. Job responsibilities include publishing research in professional journals, writing for bank publications, and advising bank management on policy issues. To qualify a Ph.D. in economics is required. Experienced candidates are required to have a publication record commensurate with experience.To Apply:Please apply to EconJobMarket.org with current CV, a current research paper, and three letters of reference by November 26, 2018.Innovative Benefits Programs: Our comprehensive benefits package includes generous retirement and medical plans: Medical/dental plans Thrift plan (401k)Retirement plan (Pension)Paid time off (PTO) and holidaysMaternity/Paternity LeaveOn-site fitness center Wellness programsDependent care resource and referral serviceThe Federal Reserve Bank of Cleveland is an Equal Opportunity Employer. We are dedicated to sustaining an environment in which diversity is valued and differences are strengths. It is the Banks policy to provide equal employment opportunity for all employees and applicants without regard to race, color, religion, sex, national origin, age, disability, gender identity or expression, genetic information or sexual orientation. Letters of reference required: 3 Location of job: 1455 East Sixth Street, Cleveland, OH, 44114, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"148","Universidade Católica Portuguesa","Business and Economics","Faculty Positions in Finance at CATÃƒÂ“LICA-LISBON","Other nonacademic","Finance","9 Oct 2018","26 Nov 2018","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Católica Lisbon School of Business and Economics (CATÓLICA-LISBON) is seeking qualified applicants for tenure-track and non-track faculty positions in Finance beginning in Fall 2019. All levels of seniority will be considered. Junior candidates are expected to have a PhD degree or be in the process of completing one. Senior candidates are expected to have a superior research record.We welcome applicants from any area of Finance.Salary and other conditions are based on academic record and qualifications. Applications should include a cover letter, a curriculum vitae, a research paper, and recommendation letters (for junior positions). Applications should be submitted in electronic format (pdf-files) to: financerecruit@ucp.ptPlease also indicate whether you will be available for an interview at the AFA meetings in Atlanta, and/or at the EEA job market meeting in Naples. The application must be received no later thanNovember 25, 2018.CATÓLICA-LISBON holds the triple crown accreditation (AMBA, EQUIS, and AACSB) and is among the best 30 business schools according to the Financial Times European rankings. CATÓLICA-LISBON follows international standards in research excellence. It has a diverse and international faculty, recruited from top schools worldwide. Teaching is in English. More information about the school is available at: http://www.clsbe.lisboa.ucp.pt.To apply, send a message to financerecruit@ucp.pt.(See posting for details.) Letters of reference required: 3 Location of job: Palma de Cima, Lisbon, 1649-023, PortugalThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
